,cate_id
1736,8224
1737,11868
1738,8602
1739,8225
1740,5897
1741,5875
1742,8170
1743,11929
1744,11903
1745,2340
1746,11925
1747,8171
1748,11921
1749,2342
1750,8172
1751,11923
1752,11931
1753,11919
1754,11917
1755,11909
1756,8168
1757,11907
1758,11905
1759,11911
1760,11915
1761,8167
1762,8166
1763,8165
1764,8164
1765,11937
1766,11939
1767,2334
1768,11943
1769,11941
1770,11933
1771,11935
1772,11891
1773,2826
1774,2825
1775,2827
1776,11899
1777,11893
1778,11897
1779,11895
1780,11901
1781,11853
1782,11851
1783,11845
1784,11849
1785,11847
1786,11855
1787,11877
1788,11869
1789,11867
1790,11873
1791,11861
1792,11865
1793,11863
1794,11859
1795,11879
1796,11881
1797,11875
1798,11871
1799,11857
1800,11883
1801,11889
1802,11885
1803,11887
1804,11599
1805,13044
1806,11813
1807,1590
1808,1589
1809,1587
1810,1586
1811,1585
1812,1588
1813,11803
1814,8205
1815,8204
1816,1622
1817,8202
1818,8201
1819,8200
1820,8199
1821,11811
1822,11809
1823,11807
1824,11805
1825,8203
1826,11801
1827,5865
1828,8196
1829,8193
1830,5864
1831,8198
1832,8194
1833,8197
1834,1614
1835,1611
1836,11797
1837,17184
1838,1612
1839,8192
1840,11795
1841,1609
1842,11799
1843,45830
1844,8191
1845,1608
1846,1607
1847,8189
1848,1641
1849,8190
1850,1605
1851,11779
1852,11791
1853,11793
1854,11781
1855,11783
1856,11789
1857,11785
1858,11787
1859,11759
1860,1600
1861,2346
1862,8188
1863,1604
1864,11765
1865,1640
1866,11761
1867,11763
1868,11767
1869,1596
1870,1597
1871,11769
1872,11773
1873,11771
1874,11777
1875,11775
1876,27498
1877,915
1878,931
1879,6000
1880,8370
1881,8374
1882,8371
1883,11839
1884,1017
1885,978
1886,11374
1887,11843
1888,8382
1889,5410
1890,8384
1891,5394
1892,27536
1893,27530
1894,27528
1895,27532
1896,27534
1897,15228
1898,952
1899,15224
1900,15278
1901,18610
1902,15280
1903,15274
1904,15276
1905,956
1906,18612
1907,953
1908,955
1909,27626
1910,954
1911,18608
1912,15242
1913,15236
1914,15238
1915,15230
1916,15234
1917,5390
1918,15226
1919,15292
1920,15298
1921,15286
1922,15284
1923,15294
1924,15296
1925,15288
1926,15282
1927,15300
1928,15290
1929,15320
1930,15322
1931,15316
1932,15310
1933,5396
1934,5399
1935,15120
1936,10390
1937,5397
1938,15116
1939,15122
1940,5395
1941,5398
1942,15254
1943,15260
1944,15248
1945,15256
1946,15250
1947,15244
1948,15262
1949,15252
1950,15918
1951,15938
1952,15958
1953,15930
1954,15936
1955,15924
1956,15932
1957,15934
1958,15926
1959,15928
1960,15952
1961,15970
1962,15976
1963,15972
1964,15974
1965,15966
1966,15960
1967,15968
1968,27542
1969,1778
1970,977
1971,11376
1972,11375
1973,8372
1974,8373
1975,8512
1976,8513
1977,8511
1978,8515
1979,8516
1980,8514
1981,27546
1982,27544
1983,1686
1984,27550
1985,8335
1986,27548
1987,5342
1988,8337
1989,5340
1990,5341
1991,4673
1992,27572
1993,1581
1994,8338
1995,10384
1996,10383
1997,1706
1998,8342
1999,8343
2000,8341
2001,1707
2002,968
2003,5343
2004,959
2005,27562
2006,27558
2007,925
2008,4546
2009,918
2010,917
2011,27556
2012,27560
2013,920
2014,5409
2015,921
2016,923
2017,922
2018,27552
2019,10382
2020,27554
2021,10379
2022,10380
2023,16004
2024,2269
2025,1703
2026,975
2027,8349
2028,1508
2029,984
2030,981
2031,27606
2032,1192
2033,8355
2034,4551
2035,4550
2036,4674
2037,27604
2038,1008
2039,8357
2040,15118
2041,8368
2042,5402
2043,5401
2044,5400
2045,8361
2046,5387
2047,5403
2048,10386
2049,5404
2050,1702
2051,27600
2052,8348
2053,10385
2054,936
2055,1698
2056,941
2057,27592
2058,10387
2059,27586
2060,5407
2061,5406
2062,1701
2063,8385
2064,1716
2065,939
2066,27602
2067,938
2068,27594
2069,27598
2070,27596
2071,935
2072,934
2073,933
2074,27584
2075,27582
2076,27580
2077,27590
2078,27588
2079,8344
2080,1510
2081,6179
2082,1509
2083,8345
2084,27574
2085,8346
2086,27578
2087,27576
2088,27608
2089,27612
2090,8387
2091,27616
2092,976
2093,6526
2094,27610
2095,8351
2096,6522
2097,6521
2098,6524
2099,6525
2100,6523
2101,8391
2102,27614
2103,7566
2104,8388
2105,5337
2106,958
2107,8352
2108,4559
2109,4560
2110,4558
2111,4561
2112,7565
2113,8390
2114,7564
2115,27618
2116,27620
2117,8389
2118,8411
2119,24002
2120,23120
2121,4227
2122,24128
2123,24294
2124,24258
2125,6826
2126,6827
2127,24306
2128,8413
2129,10803
2130,6140
2131,6141
2132,8428
2133,1977
2134,8438
2135,8440
2136,23884
2137,23892
2138,23886
2139,23888
2140,23896
2141,23890
2142,23902
2143,23900
2144,23904
2145,23898
2146,23906
2147,24052
2148,24036
2149,24056
2150,24060
2151,24064
2152,24058
2153,8445
2154,24068
2155,8437
2156,24074
2157,24078
2158,24082
2159,24086
2160,24046
2161,24096
2162,24098
2163,24092
2164,24102
2165,24100
2166,24094
2167,24030
2168,24032
2169,24028
2170,24108
2171,24104
2172,24106
2173,24112
2174,24110
2175,24124
2176,24126
2177,24122
2178,23958
2179,23948
2180,23970
2181,23956
2182,23950
2183,23954
2184,23952
2185,23966
2186,23972
2187,23968
2188,8444
2189,8443
2190,2980
2191,2981
2192,23916
2193,24152
2194,24164
2195,24142
2196,24168
2197,24166
2198,24170
2199,24136
2200,24130
2201,24134
2202,3323
2203,24132
2204,24140
2205,24138
2206,24144
2207,24150
2208,24146
2209,24148
2210,24162
2211,24158
2212,24160
2213,24156
2214,24154
2215,24296
2216,24300
2217,24304
2218,24298
2219,24302
2220,24266
2221,24264
2222,24260
2223,24268
2224,24262
2225,24186
2226,24176
2227,24184
2228,24174
2229,24180
2230,24188
2231,24182
2232,30964
2233,24190
2234,24234
2235,24218
2236,24222
2237,24228
2238,24224
2239,32874
2240,24220
2241,8459
2242,12218
2243,8451
2244,24316
2245,24314
2246,24312
2247,24318
2248,8458
2249,24308
2250,8456
2251,39752
2252,24310
2253,2157
2254,8448
2255,24328
2256,8449
2257,8450
2258,24320
2259,24322
2260,24324
2261,24326
2262,24334
2263,24330
2264,24336
2265,24332
2266,10808
2267,24338
2268,10809
2269,24340
2270,10805
2271,10804
2272,10806
2273,10807
2274,24198
2275,24208
2276,24212
2277,24214
2278,44464
2279,24202
2280,24204
2281,24206
2282,24200
2283,24196
2284,24240
2285,24254
2286,24256
2287,44462
2288,24246
2289,24244
2290,24248
2291,24238
2292,24288
2293,24276
2294,24290
2295,24272
2296,24274
2297,24284
2298,24278
2299,24282
2300,24286
2301,24280
2302,3242
2303,24292
2304,17208
2305,24832
2306,8435
2307,8597
2308,6070
2309,8431
2310,23118
2311,17224
2312,17226
2313,45498
2314,24362
2315,45606
2316,11906
2317,11904
2318,6061
2319,6045
2320,45476
2321,6052
2322,45522
2323,6063
2324,45510
2325,45508
2326,45502
2327,45504
2328,45500
2329,45518
2330,45516
2331,45514
2332,45512
2333,45520
2334,6062
2335,45598
2336,24358
2337,45604
2338,45588
2339,45600
2340,45602
2341,45596
2342,46206
2343,45586
2344,45580
2345,45584
2346,45582
2347,45578
2348,45594
2349,45590
2350,45592
2351,46208
2352,11912
2353,11908
2354,11910
2355,46190
2356,46188
2357,46186
2358,46192
2359,45530
2360,45536
2361,45532
2362,45538
2363,45534
2364,45528
2365,45470
2366,45472
2367,6064
2368,6065
2369,6068
2370,11988
2371,6069
2372,23114
2373,45474
2374,45468
2375,45558
2376,45546
2377,24366
2378,24368
2379,45560
2380,45562
2381,45564
2382,45566
2383,45568
2384,45554
2385,45570
2386,45550
2387,45552
2388,24354
2389,45548
2390,45556
2391,24360
2392,24364
2393,24342
2394,45486
2395,45480
2396,45490
2397,45478
2398,45494
2399,45488
